Author,Comment,Time
@boyman1238,​ @jamaltasik4141 sayang Pak Kasmujo sudah tua dan sudah Pikun. Tak bisa di buat untuk saksi.,1 hari yang lalu
@RojoRatu,👍 kalo tahlilan ijasah,1 hari yang lalu
@AgusSetiawan-xz3do,Rakyat yg mna yg sependapat dg anda🤣🤣🤣​ @MansurJaya-k3l ,1 hari yang lalu
@rahmats-g3m,"liat aja nanti endingnya, pasti sadis.",1 hari yang lalu
@AchmadSusanto-py8gb,Kapan rompi shopy dipakai tifa kurnia roy rismon egi????,1 hari yang lalu
@titinyuliana3841,DEWA PANCI laknatullah,1 hari yang lalu
@farizpamungkas9522,"​ @MansurJaya-k3l rakyat yg mana?? Justru si mulyono yg harusnya tinggal buktiin kalo ijasahnya memang asli, trus penjarakan roy suryo cs juga gampang,, tapi nyatanya gx begitu, si mulyono malah nyewa pengacara bayar ini itu ribeeettttttttttttt..",1 hari yang lalu
@tiniabqori6766,Orang yang di selimuti kebencian .....apapun akan menjadi kepencian,1 hari yang lalu
@nikoelfan806,Betullll😅😅😅😅,1 hari yang lalu
@bimantoroguntur2709,2500milyar masyarakat dunia ghoib dipaksa mengakui fotocopi adalah asli😂😂😂😂😂,1 hari yang lalu
@IwanKph-w4q,Banyak banyak istiqhfar.nggk usahlah neko neko.hidup nggk lama kok  ..,1 hari yang lalu
@al-asrvipwater3380,TERIMAKASIH PAK KASMUDJO TELAH BERKATA JUJUR,1 hari yang lalu
@tiarakhairani4203,Kuasa hukum fulus,1 hari yang lalu
@yws3675,😂 sebenarnya mereka yang selalu berteriak bohong dia lah yang selaluu berbohong 😂😂😂takut ketahuan makanya makin keras menuduh nya 😂,1 hari yang lalu
@Chartier-bn2le,Menutupi kebohongan itu Dan banyak ngeluarin duit 😂,18 jam yang lalu
@ApelLobak,Butuh malaikat ga buat jd ahli?,18 jam yang lalu
@AbdulWahid-f7u,"Emang betul,kekalahan sangat menyakitkan.",17 jam yang lalu
@muhammadhizammasruri6515,buzzer banteng,15 jam yang lalu
@romiframika477,​ @muhammadhizammasruri6515  sy do'a kan. Di akhirat km satu golongan satu klompok dgn mulyono sy do'a kan di ahirat km berdampingan dgn mulyono.... Amin amin amin yrb..,15 jam yang lalu
@AwalUdin-t8r,​ @AdiSusanto-zn9yr saya tidak percaya sama siapapun semoga yg berbohong mendapat azab  yg sangat pedih,15 jam yang lalu
@erizalelma9808,Yang  kata nya  Produk  Pramungka  Tidak  di  Selidiki,5 jam yang lalu
@edisupyan9475,Yg minta² tunjukin tilil... Biar ditunjukin emnk langsung percaya si panci... Lebih baik selesaikan di persidangan saja biar masuk penjara lagi itu panci wkwkwkwkwk bahagianya,2 jam yang lalu
@FaizCell-q2l,​ @rinahapsari6445  ternak abah nambah lagi selain onta  ada kerbau juga. 😂😂😂😂😂,1 jam yang lalu
@arnowosigitcaroko,Sehat selalu terus melihat HTI dibubarkan,2 hari yang lalu
@kanayanahda3799,Muhammad tompel 😂😂😂,2 hari yang lalu
@Colaaa__,"Palsu ko ijazah 
Ijazah ko palsu 
Sungguh memalukan",2 hari yang lalu
@MemedRahayudin,"😂😂😂😂Luar biasa ,, tinggal nunggu Gilirannya, agar bisa Reuni Bareng Sama Temannya",2 hari yang lalu
@kusmanto88,"Luar biasa dri mana ???!!!....
Ijazah jokowi nyata dan asli sah dri UGM...
Pernah kerja di pabrik kertas aceh 1986 saat jokowi belon jadi apa2....syarat kerja menggunakan ijazah S1 kehutanan.
Udah kalian jgn mau di bodohi sama team yg ngaku TPUA dan roy cs.....Tpua dri mana mereka ???
Ulama yg jelas di indonesia itu ya ada di organisasi sepeeti Muhammadiah,NU dan lainya.
Pakai nalar yg sehat mas.",2 hari yang lalu
@suprihnosuprihno6080,​ @kusmanto88 OOHH ANDA TEMAN KERJA P JOKOWI DI ACEH  YA?,2 hari yang lalu
@kangocoytea6215,PKI dan Gerwani komen💪💪💪🔥🔥🔥😂🤣​ @arnowosigitcaroko ,2 hari yang lalu
@kangocoytea6215,​ @kusmanto88 Drs. Insinyur Jokowi   kkn 1985 Lulus 1985😂😂😂 sementara Bar s Cream bilang kkn 1983🤪😋😛😜 kurang koordinasi 🤣😂 atau mulyono lupa skenario 🤣😂🤣,2 hari yang lalu
@aisyahaisyah321,Luar biasa ngocehny bokin mangkel,1 hari yang lalu
@poranghitamgedongcitro1068,Taeeekkk,1 hari yang lalu
@poranghitamgedongcitro1068,​@Colaaaitu ug bilang kan gak waras __,1 hari yang lalu
@assaury_bhs278,​@kanayanahda3799 ternak Mulyono muncul😂,1 hari yang lalu
@HendraAs-k1n,Luar biasa apa nya pengacara kalah terus...,1 hari yang lalu
@gunadiindrajit3962,Luar biasa asal omong hahaha,1 hari yang lalu
@bambangagussantoso615,"Itu abang yg pakai jas coklat aku sering ngliat di banyak tempat dan selalu berakhir dng ngotot.
Sekilas kliatan pinter karena ngomongnya nrocos, pdhl klo diamati sungguh ini hny pinter ngeyel.
Dulu saya kagum ttp maaf dlm kasus Roy dan ijazah aku jd bosen.",1 hari yang lalu
@iyayajaajs3688,Arianto ini honornya kecil ya...sering di undang di tv one...tapi cara ngomongnya tidak seperti ahli😅😅,4 jam yang lalu
@dimasseto7248,"fakta2 yg di ajukan roy suryo cs logis dan terang benderang, sangat dragukan ijasah jokowi
dipakailah logika kekuasaan lewat polisi dengan membangun argumen dan narasi via tenaga ahli
dan pada akhir nya logika akal sehat masyarakat akan dipaksa untuk menerima logika kekuasaan itu.",1 hari yang lalu
@gogotoktafian9938,"​ @dimasseto7248 logis darimana , kalau udah sakit apapun fakta tak kan berguna",1 hari yang lalu
@gustisaniah9764,Akhi tim jokowi😂😂,1 hari yang lalu
@dimasseto7248, @gogotoktafian9938  itu bukan nya posisi anda sakit akal ?,1 hari yang lalu
@kusmonokusmono2477,Bapak yg ditengah bukan ahli tapi menguatkan menggiring ke yg sblh ..,1 hari yang lalu
